nameseq,fickett_score-ORF,fickett_score-full-sequence
10_104431_104500,0.9991,0.43178
10_104817_104874,0.982,0.349
10_104957_105096,1.0834,0.43443
10_106081_106190,0.9127,0.41213
10_106081_108136,0.7634,0.43845
10_107005_108136,0.6778,0.46358
10_14313_17245,0.3775,0.3266099999999999
10_1439_1738,0.6783,0.41861
10_18334_68401,0.3825,0.29772
10_1_2859,0.3829999999999999,0.32886
10_28062_32585,0.437,0.28503
10_34225_36084,0.4591999999999999,0.3599299999999999
10_36224_37462,0.5057,0.36422
10_3637_7559,0.4408,0.33748
10_39105_40963,0.3675,0.32389
10_41103_42339,0.8002,0.46396
10_43979_45837,0.5867999999999999,0.39152
10_45977_47214,0.4557,0.36133
10_48854_52312,0.3142,0.28376
10_53137_53354,0.7670999999999999,0.3978299999999999
10_53386_66290,0.4095999999999999,0.28267
10_67608_70297,0.3811,0.36432
10_68423_71493,0.5912999999999999,0.39984
10_71203_71667,0.6773,0.42336
10_71679_75246,0.4014999999999999,0.36801
10_72424_75337,0.4695999999999999,0.38682
10_76226_79032,0.4357999999999999,0.30204
10_79838_79941,0.7283,0.39241
10_81669_94346,0.355,0.30387
10_8339_16527,0.3718,0.32477
10_89721_89777,0.4583,0.25187
10_91110_92753,0.3635,0.31122
10_94966_104206,0.3902,0.36522
1_10001837_10019788,0.5358,0.3655
1_100022838_100038435,0.4713,0.36665
1_100038436_100054182,0.3718,0.29607
1_100040304_100040484,0.3872,0.26693
1_100050927_100051070,0.8217,0.42434
1_100052746_100053686,0.6333,0.37271
1_100054490_100057260,0.4392999999999999,0.33913
1_100057807_100060274,0.4145,0.34755
1_100061314_100065425,0.4891,0.34696
1_100065496_100066141,0.7796000000000001,0.3967
1_100066834_100066913,0.455,0.29347
1_100067053_100067355,0.6678,0.37247
1_100067382_100074201,0.4357,0.33348
1_100074222_100081231,0.4394,0.32013
1_100082312_100082899,0.3619999999999999,0.35599
1_100083517_100084195,0.4351,0.33538
1_100084740_100085146,0.5434,0.34214
1_100084820_100085142,0.4464,0.32809
1_100089283_100089445,0.7395999999999999,0.4165
1_100089283_100089446,0.7395999999999999,0.4165
1_100089504_100089662,0.4675999999999999,0.35316
1_100089512_100089680,0.5593000000000001,0.35296
1_100091356_100154994,0.4786,0.27911
1_100091361_100093377,0.7073999999999999,0.3677399999999999
1_100095762_100127180,0.5108999999999999,0.31474
1_100128608_100129931,0.3878,0.34437
1_100136417_100140773,0.4292,0.3611
1_100141401_100154357,0.5054,0.3892
1_100154987_100162146,0.4934,0.30651
1_10015764_10018558,0.7287,0.3773299999999999
1_100162191_100164008,0.4992,0.41617
1_100162309_100162635,0.6401,0.43395
1_100165225_100165407,1.2099000000000002,0.41194
1_100165277_100165404,1.188,0.4086
1_100166128_100186105,0.3706,0.28923
1_100166315_100166552,1.1102,0.43862
1_100168494_100169098,1.2178,0.44296
1_100169476_100169651,1.1042,0.45674
1_100169944_100171969,0.7405,0.45595
1_100172837_100173457,0.4634999999999999,0.34848
1_100174357_100192422,0.4306999999999999,0.28842
1_100192976_100193130,0.7493,0.40556
1_100193150_100193436,0.6371,0.39703
1_100193878_100194059,0.6585000000000001,0.38406
1_100194819_100198012,0.4207,0.35489
1_100196114_100198012,0.4201,0.36057
1_10019757_10025299,0.4328,0.33779
1_100198015_100198295,0.7212000000000001,0.47105
1_100199101_100208554,0.3827,0.28923
1_100199115_100208552,0.4037,0.28648
1_100208910_100209377,0.6079999999999999,0.37273
1_100209378_100216404,0.4451,0.30932
1_100209379_100216404,0.4451,0.30932
1_100216423_100216954,0.8251999999999999,0.39293
1_100216423_100216955,0.8251999999999999,0.39293
1_100217846_100218033,0.7766,0.4660299999999999
1_100217846_100218141,0.4165,0.3547
1_100218548_100219320,0.5166000000000001,0.30821
1_100219328_100219997,0.5999,0.35809
1_100220622_100221782,0.4879,0.3575399999999999
1_100222851_100223041,0.9462,0.46579
1_100223311_100224339,0.6560999999999999,0.42473
1_100224145_100229179,0.4394,0.29155
1_100225979_100226665,0.7002999999999999,0.40456
1_100226670_100227166,0.9564,0.41689
1_100229360_100229728,0.5940000000000001,0.43289
1_100229423_100229727,0.6519999999999999,0.4357299999999999
1_100229730_100230453,0.4343,0.34045
1_100231082_100231282,0.8822000000000001,0.42773
1_100232834_100240444,0.4588,0.28387
1_100240421_100261320,0.4723,0.28711
1_100240966_100253417,0.4905,0.28986
1_10025431_10026356,0.4211,0.36777
1_100261719_100266780,0.4107999999999999,0.30961
1_10026359_10027542,1.111,0.44286
1_100263785_100270589,0.4138,0.35952
1_100268128_100270669,0.7362000000000001,0.45584
1_100270961_100275562,0.5514,0.392
1_100275562_100281775,0.3729,0.27711
1_10027744_10027864,0.8788,0.42758
1_100281774_100300833,0.3718,0.29202
1_100281943_100293321,0.3706,0.28518
1_10029444_10029685,0.9969,0.45748
1_10030958_10031048,0.7677,0.40723
1_100311529_100312275,0.5207999999999999,0.37458
1_100313043_100328012,0.3827,0.31233
1_10031602_10032609,0.9254,0.44731
1_10031602_10053312,0.3706,0.31793
1_100328099_100328839,0.7103,0.36631
1_100328861_100328996,0.6703,0.37659
1_100329116_100334076,0.5266,0.3922599999999999
1_100329150_100329295,0.5573999999999999,0.4500599999999999
1_100329600_100329881,0.6004999999999999,0.3003
1_100334084_100344276,0.4384,0.31208
1_100338675_100343818,0.389,0.28584
1_100343821_100344290,0.4263,0.3259499999999999
1_100346632_100346702,0.5589,0.32374
1_100347171_100347474,0.5975,0.44536
1_100347177_100347474,0.5998,0.42529
1_100347479_100347606,0.6284,0.37346
